Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Age_scaled,Fare_scaled,FamilySize,FarePerPerson,Class_Fare,Fare_log,AgeGroup
0,3,22.0,1,0,7.25,True,False,True,-0.5348911628688886,-0.8205524467753036,2,3.625,21.75,2.1102132003465894,YoungAdult
1,1,38.0,1,0,65.6344,False,False,False,0.6683917564561223,2.0316232164746784,2,32.8172,65.6344,4.19922096071412,Adult
1,3,26.0,0,0,7.925,False,False,True,-0.23407043303763592,-0.7875775669667633,1,7.925,23.775,2.188856327665703,YoungAdult
1,1,35.0,1,0,53.1,False,False,True,0.4427762090826827,1.4192967965159125,2,26.55,53.1,3.9908341858524357,YoungAdult
0,3,35.0,0,0,8.05,True,False,True,0.4427762090826827,-0.7814711077429595,1,8.05,24.150000000000002,2.2027647577118348,YoungAdult
0,3,25.0,0,0,8.4583,True,True,False,-0.3092756154954491,-0.761524969334327,1,8.4583,25.374899999999997,2.246892662898172,YoungAdult
0,1,54.0,0,0,51.8625,True,False,True,1.8716746757811333,1.358842850200255,1,51.8625,51.8625,3.967694202798607,Adult
0,3,2.0,3,1,21.075,True,False,True,-2.038994812025152,-0.14517805662260871,5,4.215,63.224999999999994,3.0944457464900235,Child
1,3,27.0,0,2,11.1333,False,False,True,-0.15886525057982273,-0.6308467419449267,3,3.7111,33.3999,2.495953738718064,YoungAdult
1,2,14.0,1,0,30.0708,False,False,False,-1.136532622531394,0.2942818304613415,2,15.0354,60.1416,3.436268471383741,Teen
1,3,4.0,1,1,16.7,False,False,True,-1.8885844471095259,-0.35890412945574,3,5.566666666666666,50.099999999999994,2.8735646395797834,Child
1,1,58.0,0,0,26.55,False,False,True,2.172495405612386,0.12228485737999564,1,26.55,26.55,3.3160025355989236,Adult
0,3,20.0,0,0,8.05,True,False,True,-0.685301527784515,-0.7814711077429595,1,8.05,24.150000000000002,2.2027647577118348,YoungAdult
0,3,39.0,1,5,31.275,True,False,True,0.7435969389139355,0.35310901603977735,7,4.4678571428571425,93.82499999999999,3.4742929367327062,Adult
0,3,14.0,0,0,7.8542,False,False,True,-1.136532622531394,-0.7910362654711258,1,7.8542,23.5626,2.180891922715322,Teen
1,2,55.0,0,0,16.0,False,False,True,1.9468798582389464,-0.393100301109041,1,16.0,32.0,2.833213344056216,Adult
0,3,2.0,4,1,29.125,True,True,False,-2.038994812025152,0.24807791739035287,6,4.854166666666667,87.375,3.405355391810819,Child
1,2,30.0,0,0,13.0,True,False,True,0.06675029679361683,-0.539655322480331,1,13.0,26.0,2.6390573296152584,YoungAdult
0,3,31.0,1,0,18.0,False,False,True,0.14195547925143,-0.29539695352818096,2,9.0,54.0,2.9444389791664403,YoungAdult
1,3,21.5,0,0,7.225,False,False,False,-0.5724937540977952,-0.8217737386200644,1,7.225,21.674999999999997,2.1071782966514356,YoungAdult
0,2,35.0,0,0,26.0,True,False,True,0.4427762090826827,0.0954164367952591,1,26.0,52.0,3.295836866004329,YoungAdult
1,2,34.0,0,0,13.0,True,False,True,0.36757102662486957,-0.539655322480331,1,13.0,26.0,2.6390573296152584,YoungAdult
1,3,15.0,0,0,8.0292,False,True,False,-1.061327440073581,-0.7824872225578006,1,8.0292,24.0876,2.2004637699272855,Teen
1,1,28.0,0,0,35.5,True,False,True,-0.08366006812200955,0.5595073378043441,1,35.5,35.5,3.597312260588446,YoungAdult
0,3,8.0,3,1,21.075,False,False,True,-1.5877637172782733,-0.14517805662260871,5,4.215,63.224999999999994,3.0944457464900235,Child
1,3,38.0,1,5,31.3875,False,False,True,0.6683917564561223,0.35860482934120075,7,4.483928571428572,94.1625,3.4777725458882283,Adult
0,3,25.0,0,0,7.225,True,False,False,-0.3092756154954491,-0.8217737386200644,1,7.225,21.674999999999997,2.1071782966514356,YoungAdult
0,1,19.0,3,2,65.6344,True,False,True,-0.7605067102423282,2.0316232164746784,6,10.939066666666667,65.6344,4.19922096071412,YoungAdult
1,3,21.5,0,0,7.8792,False,True,False,-0.5724937540977952,-0.789814973626365,1,7.8792,23.6376,2.1837114628556327,YoungAdult
0,3,25.0,0,0,7.8958,True,False,True,-0.3092756154954491,-0.7890040358414437,1,7.8958,23.6874,2.1855792552411137,YoungAdult
0,1,40.0,0,0,27.7208,True,False,False,0.8188021213717487,0.1794803970538311,1,27.7208,27.7208,3.357621598945279,Adult
1,1,35.0,1,0,65.6344,False,False,False,0.4427762090826827,2.0316232164746784,2,32.8172,65.6344,4.19922096071412,YoungAdult
1,3,21.5,0,0,7.75,False,True,False,-0.5724937540977952,-0.7961266098800885,1,7.75,23.25,2.169053700369523,YoungAdult
0,2,66.0,0,0,10.5,True,False,True,2.7741368652748912,-0.661784506956406,1,10.5,21.0,2.4423470353692043,Senior
0,1,28.0,1,0,65.6344,True,False,False,-0.08366006812200955,2.0316232164746784,2,32.8172,65.6344,4.19922096071412,YoungAdult
0,1,42.0,1,0,52.0,True,False,True,0.969212486287375,1.3655599553464393,2,26.0,52.0,3.970291913552122,Adult
1,3,25.0,0,0,7.2292,True,False,False,-0.3092756154954491,-0.8215685615901446,1,7.2292,21.6876,2.1076888046179385,YoungAdult
